stamp,company,model,layers,units,dropout,MAE,RMSE,MAPE,run_dir
20250913-050407,META,lstm,2,32,0.1,10.3597,12.9712,5.0281,task4_results/META_lstm_L2_U32_D0.1_20250913-050407
20250913-050407,META,lstm,2,32,0.2,10.3147,12.7374,5.1927,task4_results/META_lstm_L2_U32_D0.2_20250913-050407
20250913-050407,META,lstm,2,64,0.1,7.1923,9.6517,3.6960,task4_results/META_lstm_L2_U64_D0.1_20250913-050407
20250913-050407,META,lstm,2,64,0.2,8.9860,11.5059,4.3710,task4_results/META_lstm_L2_U64_D0.2_20250913-050407
20250913-050407,META,lstm,3,32,0.1,9.6885,12.2728,4.8513,task4_results/META_lstm_L3_U32_D0.1_20250913-050407
20250913-050407,META,lstm,3,32,0.2,9.6229,12.3214,4.7544,task4_results/META_lstm_L3_U32_D0.2_20250913-050407
20250913-050407,META,lstm,3,64,0.1,10.9730,13.2870,6.0004,task4_results/META_lstm_L3_U64_D0.1_20250913-050407
20250913-050407,META,lstm,3,64,0.2,8.4218,11.4154,4.3687,task4_results/META_lstm_L3_U64_D0.2_20250913-050407
20250913-050407,META,gru,2,32,0.1,6.3978,8.7397,3.1576,task4_results/META_gru_L2_U32_D0.1_20250913-050407
20250913-050407,META,gru,2,32,0.2,5.3592,7.6428,2.6946,task4_results/META_gru_L2_U32_D0.2_20250913-050407
20250913-050407,META,gru,2,64,0.1,5.9069,8.2444,2.9531,task4_results/META_gru_L2_U64_D0.1_20250913-050407
20250913-050407,META,gru,2,64,0.2,5.6573,7.7429,2.9093,task4_results/META_gru_L2_U64_D0.2_20250913-050407
20250913-050407,META,gru,3,32,0.1,7.1012,9.6513,3.5154,task4_results/META_gru_L3_U32_D0.1_20250913-050407
20250913-050407,META,gru,3,32,0.2,6.6269,9.0158,3.2542,task4_results/META_gru_L3_U32_D0.2_20250913-050407
20250913-050407,META,gru,3,64,0.1,5.8687,8.1237,2.9714,task4_results/META_gru_L3_U64_D0.1_20250913-050407
20250913-050407,META,gru,3,64,0.2,6.6311,8.6890,3.5299,task4_results/META_gru_L3_U64_D0.2_20250913-050407
20250913-050407,META,rnn,2,32,0.1,12.6037,15.8348,6.8461,task4_results/META_rnn_L2_U32_D0.1_20250913-050407
20250913-050407,META,rnn,2,32,0.2,15.7181,19.7684,8.8281,task4_results/META_rnn_L2_U32_D0.2_20250913-050407
20250913-050407,META,rnn,2,64,0.1,6.9898,9.7439,3.7875,task4_results/META_rnn_L2_U64_D0.1_20250913-050407
20250913-050407,META,rnn,2,64,0.2,6.9714,9.8373,3.7264,task4_results/META_rnn_L2_U64_D0.2_20250913-050407
20250913-050407,META,rnn,3,32,0.1,13.7787,17.8533,7.9769,task4_results/META_rnn_L3_U32_D0.1_20250913-050407
20250913-050407,META,rnn,3,32,0.2,10.9365,13.4789,6.1276,task4_results/META_rnn_L3_U32_D0.2_20250913-050407
20250913-050407,META,rnn,3,64,0.1,12.8177,16.4268,7.0809,task4_results/META_rnn_L3_U64_D0.1_20250913-050407
20250913-050407,META,rnn,3,64,0.2,18.4731,21.5800,10.0565,task4_results/META_rnn_L3_U64_D0.2_20250913-050407
