date,avg_textblob_polarity,std_textblob_polarity,article_count,avg_custom_polarity,std_custom_polarity,total_positive_words,total_negative_words,avg_article_length,total_words,sentiment_intensity,sentiment_volatility,pos_neg_ratio
2020-01-01,0.0667,,1,1.0,,2,0,268.0,42,0.0667,,2.0
2020-01-03,0.4333,,1,1.0,,2,0,292.0,42,0.4333,,2.0
2020-01-04,0.1307,0.1133,3,0.0,0.0,0,0,285.6667,120,0.1307,0.1133,0.0
2020-01-05,0.2014,,1,0.0,,0,0,280.0,40,0.2014,,0.0
2020-01-06,0.05,0.0707,2,0.0,0.0,0,0,285.0,80,0.05,0.0707,0.0
2020-01-08,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-01-10,0.0667,0.0,2,1.0,0.0,4,0,266.0,80,0.0667,0.0,4.0
2020-01-12,0.2338,0.1855,3,0.6667,0.5774,4,0,280.3333,124,0.2338,0.1855,4.0
2020-01-14,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2020-01-15,0.1007,0.1424,2,0.0,0.0,0,0,285.5,80,0.1007,0.1424,0.0
2020-01-18,0.1007,0.1424,2,0.0,0.0,0,0,286.5,80,0.1007,0.1424,0.0
2020-01-19,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2020-01-20,0.2014,,1,0.0,,0,0,284.0,40,0.2014,,0.0
2020-01-21,0.4333,,1,0.3333,,2,1,292.0,42,0.4333,,2.0
2020-01-22,0.4333,,1,0.3333,,2,1,292.0,42,0.4333,,2.0
2020-01-23,0.0,,1,0.0,,0,0,289.0,40,0.0,,0.0
2020-01-24,0.3174,0.164,2,0.1667,0.2357,2,1,288.5,82,0.3174,0.164,2.0
2020-01-26,0.3174,0.164,2,0.5,0.7071,2,0,286.5,82,0.3174,0.164,2.0
2020-01-27,0.0667,,1,1.0,,2,0,268.0,42,0.0667,,2.0
2020-01-28,0.2014,,1,0.0,,0,0,286.0,40,0.2014,,0.0
2020-01-30,0.05,0.0707,2,0.0,0.0,0,0,285.0,80,0.05,0.0707,0.0
